LOC,ZC,CITY,BOUROUGHS_STATE,LAT,LONG,num_calls,BOUROUGHS,STATE
Club/Bar/Restaurant,11358.0,FLUSHING,"QUEENS, NY",-73.79561736,-73.79561736,15,,
Club/Bar/Restaurant,11372.0,JACKSON HEIGHTS,"QUEENS, NY",-73.883331,-73.883331,57,,
Club/Bar/Restaurant,10001.0,NEW YORK,"MANHATTAN, NY",-73.98729207,-73.98729207,15,,
Club/Bar/Restaurant,10471.0,BRONX,"BRONX, NY",-73.89903879,-73.89903879,16,,
Club/Bar/Restaurant,10022.0,NEW YORK,"MANHATTAN, NY",-73.9625937,-73.9625937,92,,
Club/Bar/Restaurant,10029.0,NEW YORK,"MANHATTAN, NY",-73.94676079,-73.94676079,11,,
Club/Bar/Restaurant,11217.0,,"BROOKLYN, NY",-73.98342993,-73.98342993,1513,,
Club/Bar/Restaurant,10026.0,NEW YORK,"MANHATTAN, NY",-73.95650039,-73.95650039,91,,
Club/Bar/Restaurant,10012.0,NEW YORK,"MANHATTAN, NY",-73.99981238,-73.99981238,120,,
Club/Bar/Restaurant,10454.0,BRONX,"BRONX, NY",-73.919309,-73.919309,76,,
Club/Bar/Restaurant,10003.0,NEW YORK,"MANHATTAN, NY",-73.98992216,-73.98992216,65,,
Club/Bar/Restaurant,10009.0,NEW YORK,"MANHATTAN, NY",-73.98388421,-73.98388421,40,,
Club/Bar/Restaurant,10009.0,NEW YORK,"MANHATTAN, NY",-73.98517963,-73.98517963,26,,
Club/Bar/Restaurant,11237.0,,"BROOKLYN, NY",-73.92937189,-73.92937189,21,,
Club/Bar/Restaurant,11215.0,,"BROOKLYN, NY",-73.98651012,-73.98651012,19,,
Club/Bar/Restaurant,11209.0,,"BROOKLYN, NY",-74.02845743,-74.02845743,15,,
Club/Bar/Restaurant,11004.0,GLEN OAKS,"QUEENS, NY",-73.71046402,-73.71046402,44,,
Club/Bar/Restaurant,10003.0,NEW YORK,"MANHATTAN, NY",-73.98783593,-73.98783593,24,,
Club/Bar/Restaurant,11372.0,JACKSON HEIGHTS,"QUEENS, NY",-73.88645672,-73.88645672,24,,
Club/Bar/Restaurant,10310.0,STATEN ISLAND,"STATEN ISLAND, NY",-74.10879366,-74.10879366,53,,
Club/Bar/Restaurant,11201.0,,"BROOKLYN, NY",-73.99416238,-73.99416238,11,,
Club/Bar/Restaurant,10001.0,NEW YORK,"MANHATTAN, NY",-73.99836504,-73.99836504,10,,
